,Brand,RAM,Processor,Battery,Rear Camera,Front Camera,Display,Launch Date,Operating System,Fabrication,Graphics,Display Type,Pixel Density,Refresh Rate,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,Audio Jack,SIM Slot(s),Fingerprint Sensor,Price
305,vivo,12,MediaTek,4500,50,50,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,37000
306,Apple,4,Apple,3000,12,12,6.0,2019,iOS,7,Apple,OLED,450,60,Yes,No,64,No,No,2,No,87100
307,realme,8,MediaTek,5000,50,16,6.5,2023,Android,6,Mali,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,15500
308,OPPO,8,Qualcomm,4500,64,32,6.5,2022,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,20500
309,Samsung,8,Qualcomm,3500,12,10,6.5,2022,Android,4,Adreno,AMOLED,400,120,Yes,Yes,128,No,No,2,Yes,68000
310,Samsung,8,MediaTek,5000,48,13,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,256,Yes,No,2,Yes,30000
311,realme,8,Qualcomm,5000,64,16,6.5,2022,Android,7,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,25000
312,OPPO,8,MediaTek,4000,64,44,6.5,2020,Android,12,PowerVR,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,26000
313,realme,8,Qualcomm,5000,64,16,6.5,2022,Android,7,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,27000
314,Samsung,6,MediaTek,5000,48,13,6.5,2021,Android,12,Mali,AMOLED,250,90,Yes,Yes,128,Yes,Yes,2,Yes,16500
315,vivo,8,Qualcomm,4500,48,32,6.5,2020,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,19000
316,Samsung,8,MediaTek,5000,108,32,6.5,2022,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,Yes,No,2,Yes,24200
317,Infinix,4,MediaTek,5000,50,8,6.5,2023,Android,12,Mali,AMOLED,350,60,Yes,Yes,64,Yes,Yes,2,Yes,10000
318,OnePlus,8,Qualcomm,5000,64,16,6.5,2022,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,22000
319,OnePlus,12,Qualcomm,4500,64,16,6.5,2021,Android,8,Adreno,AMOLED,400,90,Yes,Yes,256,No,Yes,2,Yes,28000
320,Tecno,8,MediaTek,5000,64,32,7.0,2022,Android,12,Mali,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,18000
321,Samsung,4,Samsung,6000,48,20,6.5,2021,Android,10,Mali,AMOLED,400,60,Yes,Yes,64,Yes,Yes,2,Yes,11400
322,Samsung,6,Samsung,3500,12,8,6.0,2018,Android,10,Mali,AMOLED,500,60,Yes,Yes,64,Yes,Yes,2,Yes,34300
323,OPPO,4,MediaTek,5000,13,8,6.5,2021,Android,12,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,13000
324,Motorola,6,MediaTek,5000,108,32,6.5,2021,Android,7,Mali,OLED,350,90,Yes,Yes,128,Yes,Yes,2,Yes,19000
325,iQOO,6,Qualcomm,5000,50,8,6.5,2022,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,14000
326,Xiaomi,4,MediaTek,5000,48,8,6.5,2021,Android,7,Mali,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,11800
327,Samsung,4,MediaTek,5000,50,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,No,12000
328,Samsung,4,MediaTek,6000,64,20,6.5,2022,Android,12,Mali,AMOLED,400,90,Yes,Yes,64,Yes,Yes,2,Yes,13500
329,Google,6,Qualcomm,3000,12,8,6.0,2020,Android,8,Adreno,OLED,400,60,Yes,Yes,128,No,Yes,2,Yes,22900
330,realme,4,MediaTek,5000,48,16,6.5,2021,Android,7,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,16500
331,OPPO,8,MediaTek,4500,64,32,6.5,2021,Android,7,Mali,AMOLED,400,90,Yes,Yes,128,No,No,2,Yes,32500
332,vivo,3,MediaTek,5000,8,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,9000
333,Google,6,Qualcomm,4500,12,8,6.5,2022,Android,7,Adreno,OLED,400,60,Yes,Yes,128,No,Yes,2,Yes,32900
334,vivo,4,MediaTek,4500,16,32,6.5,2019,Android,12,Mali,AMOLED,400,60,Yes,No,128,Yes,Yes,2,Yes,16000
335,Samsung,8,Qualcomm,3500,12,10,6.5,2021,Android,5,Adreno,AMOLED,400,120,Yes,Yes,128,No,No,2,Yes,45000
336,Samsung,8,Samsung,5000,50,13,6.5,2023,Android,5,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,20800
337,Infinix,8,MediaTek,5000,50,16,6.5,2022,Android,12,Mali,AMOLED,350,60,Yes,Yes,128,Yes,Yes,2,Yes,17000
338,OPPO,4,MediaTek,5000,13,8,6.5,2022,Android,12,PowerVR,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,14000
339,vivo,4,MediaTek,3000,13,16,5.5,2016,Android,,Mali,LCD,250,60,No,No,32,Yes,Yes,2,Yes,7000
340,realme,4,MediaTek,5000,50,16,6.5,2021,Android,12,Mali,LCD,400,120,Yes,Yes,64,Yes,Yes,2,Yes,14000
341,Samsung,4,MediaTek,5000,48,8,6.5,2021,Android,12,PowerVR,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,11100
342,Xiaomi,6,Qualcomm,5000,108,16,6.5,2021,Android,8,Adreno,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,18000
343,iQOO,12,MediaTek,5000,64,16,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,33000
344,Samsung,6,Samsung,4000,12,8,6.5,2018,Android,10,Mali,AMOLED,500,60,Yes,Yes,128,Yes,Yes,2,Yes,53000
345,Samsung,4,Samsung,3000,12,8,6.0,2018,Android,10,Mali,AMOLED,550,60,Yes,Yes,64,Yes,Yes,2,Yes,26900
346,realme,8,MediaTek,4500,64,16,6.5,2021,Android,6,Mali,AMOLED,400,120,Yes,Yes,128,No,Yes,2,Yes,27000
347,Samsung,8,Samsung,5000,50,32,6.5,2023,Android,5,Mali,AMOLED,400,120,Yes,Yes,256,Yes,No,2,Yes,35000
348,vivo,6,Qualcomm,3500,48,32,6.5,2019,Android,11,Adreno,AMOLED,400,60,Yes,No,128,Yes,Yes,2,Yes,24000
349,iQOO,8,Qualcomm,4500,50,16,7.0,2022,Android,4,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,45000
350,Xiaomi,12,MediaTek,5000,200,16,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,256,No,Yes,2,Yes,33000
351,Google,4,Qualcomm,3000,12,8,5.5,2018,Android,,Adreno,OLED,400,60,Yes,Yes,64,No,No,1,Yes,15000
352,vivo,4,Qualcomm,5000,50,8,6.5,2022,Android,6,Adreno,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,12000
353,Samsung,3,MediaTek,5000,13,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,Yes,32,Yes,Yes,2,No,11500
354,POCO,8,Qualcomm,5000,48,13,6.5,2023,Android,6,Adreno,AMOLED,350,120,Yes,Yes,256,Yes,Yes,2,Yes,18000
355,vivo,8,Qualcomm,4500,48,32,6.5,2021,Android,7,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,35100
356,realme,4,MediaTek,6000,48,8,6.5,2020,Android,12,Mali,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,13000
357,Nokia,2,Unisoc,3000,8,5,6.5,2023,Android,22,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,No,6500
358,vivo,8,MediaTek,4000,64,32,6.5,2021,Android,7,Mali,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,19600
359,Samsung,6,Samsung,6000,64,32,6.5,2020,Android,10,Mali,AMOLED,400,60,Yes,Yes,64,Yes,Yes,2,Yes,18000
360,Samsung,8,Samsung,4500,12,10,6.5,2020,Android,7,Mali,AMOLED,500,120,Yes,Yes,128,Yes,No,2,Yes,83000
361,Xiaomi,6,MediaTek,5000,50,5,6.5,2023,Android,12,Mali,LCD,250,60,No,No,128,Yes,Yes,2,Yes,11000
362,Xiaomi,8,Qualcomm,5000,108,16,6.5,2022,Android,6,Adreno,AMOLED,350,120,Yes,Yes,256,Yes,Yes,2,Yes,23300
363,vivo,8,MediaTek,5000,50,16,6.5,2021,Android,12,Mali,LCD,400,60,Yes,Yes,128,Yes,Yes,2,Yes,15800
364,iQOO,16,Qualcomm,5000,50,16,7.0,2023,Android,4,Adreno,AMOLED,500,144,Yes,Yes,256,No,No,2,Yes,60000
365,Infinix,4,MediaTek,5000,50,16,6.5,2022,Android,12,Mali,AMOLED,350,60,Yes,Yes,64,Yes,Yes,2,Yes,11600
366,Xiaomi,4,MediaTek,5000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,No,7700
367,iQOO,6,Qualcomm,4500,64,16,6.5,2021,Android,7,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,20000
368,realme,8,MediaTek,4500,64,32,6.5,2021,Android,7,Mali,AMOLED,400,120,Yes,Yes,128,No,No,2,Yes,30000
369,vivo,6,MediaTek,5000,50,8,6.5,2022,Android,12,Mali,LCD,250,60,Yes,Yes,128,Yes,Yes,2,Yes,16500
370,Samsung,6,MediaTek,6000,64,20,6.5,2022,Android,12,Mali,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,15500
371,Nokia,4,Unisoc,5000,50,8,6.5,2022,Android,12,Mali,LCD,250,90,Yes,Yes,64,Yes,Yes,2,Yes,12500
372,realme,2,Unisoc,5000,8,5,6.5,2021,Android,28,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,6300
373,Infinix,4,Unisoc,6000,13,8,7.0,2022,Android,12,Mali,LCD,250,90,No,Yes,64,Yes,Yes,2,Yes,9000
374,Infinix,4,MediaTek,5000,50,16,6.5,2021,Android,12,Mali,AMOLED,350,60,Yes,Yes,64,Yes,Yes,2,Yes,12500
375,vivo,8,Qualcomm,4000,64,44,6.5,2020,Android,7,Adreno,AMOLED,400,60,Yes,Yes,128,No,No,2,Yes,27000
376,Samsung,8,Qualcomm,5000,50,8,6.5,2023,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,23700
377,Xiaomi,6,Qualcomm,5000,48,13,6.5,2021,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,14000
378,Xiaomi,6,MediaTek,4500,108,16,6.5,2022,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,23000
379,Xiaomi,6,Qualcomm,5000,48,13,6.5,2021,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,14000
380,vivo,8,MediaTek,4000,64,16,6.5,2021,Android,12,Mali,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,17500
381,realme,4,Unisoc,5000,50,8,6.5,2022,Android,12,Mali,LCD,400,60,Yes,Yes,128,Yes,Yes,2,Yes,10700
382,Apple,3,Apple,2500,12,7,5.5,2017,iOS,10,Apple,LCD,400,60,Yes,No,64,No,No,1,Yes,49900
383,Tecno,8,MediaTek,5000,50,8,6.5,2023,Android,7,Mali,LCD,250,90,Yes,Yes,256,Yes,Yes,2,Yes,15100
384,Apple,4,Apple,2000,12,7,4.5,2022,iOS,5,Apple,LCD,300,60,Yes,No,64,No,No,2,Yes,35000
385,Xiaomi,6,Qualcomm,5000,64,20,6.5,2020,Android,7,Adreno,LCD,350,144,Yes,Yes,128,No,No,2,Yes,23000
386,OPPO,12,MediaTek,4500,64,32,6.5,2021,Android,6,Mali,AMOLED,400,90,Yes,Yes,256,No,No,2,Yes,47000
387,Samsung,8,Qualcomm,4500,48,32,6.5,2020,Android,7,Adreno,AMOLED,350,60,Yes,Yes,128,Yes,No,2,Yes,40000
388,Xiaomi,4,Qualcomm,6000,48,8,6.5,2020,Android,11,Adreno,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,11500
389,Xiaomi,6,Qualcomm,4000,64,16,6.5,2021,Android,8,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,No,2,Yes,18400
390,OPPO,3,MediaTek,4000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,9500
391,OnePlus,12,Qualcomm,5000,48,32,6.5,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,72000
392,OPPO,4,MediaTek,5000,50,16,6.5,2021,Android,12,PowerVR,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,12900
393,Samsung,8,Qualcomm,5000,64,32,6.5,2021,Android,8,Adreno,AMOLED,350,90,Yes,Yes,128,Yes,Yes,2,Yes,28000
394,vivo,8,Qualcomm,4500,64,16,6.5,2023,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,21000
395,OPPO,12,MediaTek,4500,50,32,6.5,2022,Android,6,Mali,AMOLED,400,90,Yes,Yes,256,No,No,2,Yes,35000
396,POCO,6,Qualcomm,5000,64,16,6.5,2022,Android,6,Adreno,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,17500
397,Apple,4,Apple,4000,12,12,6.5,2019,iOS,7,Apple,OLED,450,60,Yes,No,64,No,No,2,No,95700
398,OnePlus,8,MediaTek,5000,50,16,6.5,2022,Android,5,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,35000
399,iQOO,12,Qualcomm,4500,64,16,6.5,2022,Android,7,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,31200
400,realme,3,MediaTek,6000,13,8,6.5,2021,Android,12,Mali,LCD,250,60,Yes,Yes,32,Yes,Yes,2,Yes,9000
401,Xiaomi,6,MediaTek,5000,50,8,6.5,2022,Android,7,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,15000
402,Samsung,12,Qualcomm,5000,200,12,7.0,2023,Android,4,Adreno,AMOLED,500,120,Yes,Yes,1,No,No,2,Yes,155000
403,Xiaomi,4,Qualcomm,3000,12,5,5.5,2017,Android,14,Adreno,LCD,400,60,No,Yes,64,Yes,Yes,2,Yes,14000
404,Samsung,4,Samsung,4000,25,25,6.5,2019,Android,10,Mali,AMOLED,400,60,Yes,Yes,64,Yes,Yes,2,Yes,20000
405,Samsung,4,Samsung,5000,48,13,6.5,2020,Android,8,Mali,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,16000
406,vivo,8,Qualcomm,5000,48,8,6.5,2021,Android,8,Adreno,LCD,400,90,Yes,Yes,128,No,Yes,2,Yes,18100
407,Xiaomi,4,Qualcomm,4000,48,32,6.0,2019,Android,11,Adreno,AMOLED,250,60,Yes,Yes,64,Yes,Yes,2,Yes,11000
408,Xiaomi,6,Qualcomm,5000,64,16,6.5,2021,Android,8,Adreno,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,16000
409,Apple,4,Apple,3000,12,12,6.0,2020,iOS,5,Apple,OLED,450,60,Yes,No,128,No,No,2,No,57000
410,Google,6,Qualcomm,3000,12,8,5.5,2020,Android,,Adreno,OLED,400,90,Yes,Yes,64,No,No,2,No,16000
411,realme,8,MediaTek,5000,48,16,6.5,2022,Android,6,Mali,AMOLED,400,90,Yes,Yes,128,No,Yes,2,Yes,19500
412,Xiaomi,4,Qualcomm,5000,48,16,6.5,2021,Android,8,Adreno,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,10000
413,iQOO,8,Qualcomm,4500,48,16,6.5,2020,Android,7,Adreno,AMOLED,400,60,Yes,Yes,128,No,Yes,2,Yes,37000
414,Moto,4,Unisoc,5000,13,5,6.5,2023,Android,12,Mali,LCD,250,60,No,Yes,64,Yes,Yes,2,No,7400
415,Tecno,6,MediaTek,5000,64,16,7.0,2022,Android,12,Mali,LCD,350,60,Yes,Yes,128,Yes,Yes,2,Yes,13900
416,Samsung,2,Unisoc,5000,8,5,6.5,2021,Android,28,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,6500
417,realme,3,MediaTek,6000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,11000
418,Samsung,2,Unisoc,5000,8,5,6.5,2021,Android,28,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,6500
419,Apple,6,Apple,4500,48,12,6.5,2022,iOS,4,Apple,OLED,450,120,Yes,No,256,No,No,2,No,138000
420,OnePlus,8,Qualcomm,4500,64,16,6.5,2021,Android,8,Adreno,AMOLED,400,90,Yes,Yes,128,No,Yes,2,Yes,25000
421,realme,12,MediaTek,4500,50,16,6.5,2022,Android,5,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,32900
422,iQOO,8,Qualcomm,4000,48,16,6.5,2021,Android,5,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,40000
423,realme,3,Unisoc,5000,13,5,6.5,2022,Android,12,Mali,LCD,250,60,No,No,32,Yes,Yes,2,Yes,9300
424,POCO,8,Qualcomm,5000,48,20,6.5,2021,Android,7,Adreno,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,20000
425,Samsung,4,Samsung,6000,48,16,6.5,2019,Android,10,Mali,AMOLED,400,60,Yes,Yes,64,Yes,Yes,2,Yes,15000
426,I,4,other,5000,13,8,6.5,2023,Android,,Mali,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,8000
427,realme,2,Unisoc,5000,8,5,6.5,2022,Android,28,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,6900
428,OPPO,6,MediaTek,5000,13,16,6.5,2021,Android,12,PowerVR,LCD,250,60,Yes,Yes,128,Yes,Yes,2,Yes,16000
429,OPPO,6,Qualcomm,5000,48,16,6.5,2021,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,16200
430,iQOO,8,Qualcomm,4500,64,16,6.5,2023,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,20000
431,vivo,8,Qualcomm,4500,48,32,6.5,2020,Android,10,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,25000
432,OPPO,6,Qualcomm,5000,13,8,6.5,2022,Android,6,Adreno,LCD,250,90,Yes,Yes,128,Yes,Yes,2,Yes,16200
433,Infinix,2,MediaTek,5000,8,5,6.5,2022,Android,12,PowerVR,TFT,250,60,No,No,32,Yes,Yes,2,No,6900
434,Infinix,6,MediaTek,5000,16,8,7.0,2020,Android,12,Mali,LCD,250,60,No,No,128,Yes,Yes,2,Yes,12000
435,Xiaomi,8,MediaTek,5000,108,16,6.5,2022,Android,12,Mali,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,20500
436,vivo,3,MediaTek,5000,13,8,6.5,2021,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,10000
437,Samsung,12,Qualcomm,4500,12,10,7.5,2021,Android,5,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,93000
438,POCO,3,MediaTek,5000,13,5,6.5,2021,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,7000
439,Samsung,12,Qualcomm,5000,108,40,7.0,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,512,No,No,2,Yes,99200
440,vivo,6,Qualcomm,5000,48,16,6.5,2021,Android,11,Adreno,LCD,400,60,Yes,Yes,128,Yes,Yes,2,Yes,16200
441,realme,3,MediaTek,6000,13,8,6.5,2020,Android,12,PowerVR,LCD,250,60,Yes,No,32,Yes,Yes,2,Yes,9400
442,Moto,8,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,OLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,21700
443,vivo,4,MediaTek,5000,13,20,6.5,2019,Android,12,PowerVR,LCD,250,60,Yes,No,128,No,Yes,2,Yes,19500
444,Moto,6,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,OLED,350,90,Yes,Yes,128,Yes,Yes,2,Yes,14000
445,Nokia,6,Qualcomm,4500,50,8,6.5,2022,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,29000
446,Moto,4,MediaTek,5000,50,8,6.5,2022,Android,12,PowerVR,LCD,250,90,No,Yes,64,Yes,Yes,2,Yes,9100
447,OPPO,8,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,17600
448,POCO,6,MediaTek,5000,50,5,6.5,2023,Android,12,Mali,LCD,250,60,No,No,128,Yes,Yes,2,Yes,9500
449,vivo,8,Qualcomm,5000,13,16,6.5,2020,Android,11,Adreno,LCD,350,60,No,Yes,128,Yes,Yes,2,Yes,19000
450,Moto,4,Unisoc,5000,48,8,6.5,2021,Android,,Mali,LCD,250,90,No,Yes,64,Yes,Yes,2,Yes,8500
451,vivo,4,MediaTek,5000,16,16,6.5,2019,Android,12,Mali,LCD,350,60,Yes,No,128,Yes,Yes,2,Yes,20000
452,iQOO,4,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,15000
453,iQOO,12,Qualcomm,4500,50,16,7.0,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,50000
454,POCO,12,Qualcomm,4500,64,20,6.5,2022,Android,7,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,34000
455,Infinix,2,Unisoc,5000,8,5,6.5,2023,Android,28,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,6400
456,Samsung,6,MediaTek,5000,50,5,6.5,2022,Android,7,Mali,LCD,250,90,Yes,Yes,128,Yes,Yes,2,Yes,14000
457,Xiaomi,8,Qualcomm,4500,108,20,6.5,2021,Android,5,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,28800
458,OPPO,4,MediaTek,4000,13,8,6.5,2020,Android,,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,13000
459,Samsung,4,MediaTek,5000,13,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,Yes,128,Yes,Yes,2,No,9100
460,POCO,6,MediaTek,5000,64,16,6.5,2021,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,33000
461,POCO,8,MediaTek,5000,50,16,6.5,2022,Android,6,Mali,LCD,350,90,Yes,Yes,128,Yes,Yes,2,Yes,16000
462,Xiaomi,12,Qualcomm,4500,50,32,6.5,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,46400
463,Moto,8,Qualcomm,5000,50,16,6.5,2022,Android,8,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,17000
464,vivo,12,MediaTek,4500,50,50,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,43000
465,Xiaomi,4,Qualcomm,4000,13,5,5.5,2017,Android,14,Adreno,LCD,400,60,No,No,64,Yes,Yes,2,Yes,9000
466,Tecno,4,MediaTek,5000,48,8,7.0,2022,Android,12,Mali,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,8300
467,Nokia,4,Unisoc,5000,13,8,6.5,2023,Android,28,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,8000
468,Samsung,8,Qualcomm,4500,64,32,6.5,2021,Android,6,Adreno,AMOLED,400,120,Yes,Yes,128,Yes,Yes,2,Yes,32500
469,vivo,8,Qualcomm,4000,48,32,6.5,2020,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,19600
470,POCO,4,MediaTek,5000,13,8,6.5,2021,Android,12,Mali,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,9500
471,Samsung,8,Samsung,5000,64,32,6.5,2022,Android,5,Mali,AMOLED,400,120,Yes,Yes,256,Yes,No,2,Yes,35000
472,Samsung,8,Samsung,4500,12,32,6.5,2022,Android,5,Mali,AMOLED,400,120,Yes,Yes,256,No,No,2,Yes,58000
473,vivo,4,MediaTek,5000,8,5,6.5,2023,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,No,10000
474,Xiaomi,8,MediaTek,5000,50,16,6.5,2023,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,No,Yes,2,Yes,25400
475,vivo,12,Qualcomm,4000,48,32,6.5,2021,Android,7,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,50000
476,Apple,4,Apple,3000,12,12,6.0,2019,iOS,7,Apple,LCD,300,60,Yes,No,128,No,No,2,No,45500
477,vivo,8,MediaTek,4500,50,50,7.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,40000
478,OPPO,6,Qualcomm,4000,16,16,6.5,2020,Android,11,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,21000
479,POCO,3,MediaTek,5000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,8800
480,POCO,6,MediaTek,5000,13,8,6.5,2020,Android,12,Mali,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,12000
481,OnePlus,8,Qualcomm,3500,16,16,6.5,2018,Android,10,Adreno,AMOLED,400,60,Yes,Yes,128,No,No,2,Yes,28000
482,realme,6,MediaTek,5000,48,16,6.5,2021,Android,7,Mali,LCD,400,120,Yes,Yes,64,Yes,Yes,2,Yes,15500
483,realme,2,MediaTek,5000,13,5,6.5,2020,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,No,7500
484,Lava,4,MediaTek,5000,13,5,6.5,2023,Android,12,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,8000
485,Infinix,8,MediaTek,5000,108,16,6.5,2022,Android,6,Mali,AMOLED,350,60,Yes,Yes,256,Yes,Yes,2,Yes,17000
486,POCO,8,Qualcomm,5000,64,16,6.5,2022,Android,6,Adreno,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,19500
487,vivo,8,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,20000
488,realme,8,Qualcomm,4500,64,16,6.5,2021,Android,5,Adreno,AMOLED,400,120,Yes,Yes,128,No,Yes,2,Yes,30000
489,vivo,4,MediaTek,5000,13,16,6.5,2019,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,12500
490,vivo,6,Qualcomm,3500,12,25,6.5,2018,Android,14,Adreno,AMOLED,400,60,Yes,No,64,Yes,Yes,2,Yes,25000
491,Tecno,8,MediaTek,6000,50,16,7.0,2022,Android,6,Mali,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,24500
492,Samsung,8,Qualcomm,3500,50,10,6.0,2022,Android,4,Adreno,AMOLED,400,120,Yes,Yes,256,No,No,2,Yes,53000
493,POCO,8,MediaTek,5000,64,16,6.5,2022,Android,12,Mali,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,14000
494,realme,12,Qualcomm,4000,64,32,6.5,2020,Android,7,Adreno,LCD,350,120,Yes,Yes,256,No,No,2,Yes,35000
495,Samsung,2,Samsung,3000,13,5,5.5,2017,Android,14,Mali,AMOLED,250,60,No,No,16,Yes,Yes,2,No,11500
