,Brand,RAM,Processor,Battery,Rear Camera,Front Camera,Display,Launch Date,Operating System,Fabrication,Graphics,Display Type,Pixel Density,Refresh Rate,Quick Charging,USB Type-C,Internal Memory,Expandable Memory,Audio Jack,SIM Slot(s),Fingerprint Sensor,Price
163,realme,8,Qualcomm,5000,50,32,6.5,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,128,No,No,2,Yes,40000
164,realme,8,MediaTek,5000,64,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,128,Yes,Yes,2,Yes,13800
165,Samsung,4,MediaTek,5000,13,5,6.5,2023,Android,12,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,No,7300
166,realme,6,Qualcomm,5000,64,16,6.5,2022,Android,8,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,19000
167,realme,8,Qualcomm,5000,108,16,6.5,2022,Android,6,Adreno,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,20000
168,OPPO,8,Qualcomm,4500,64,16,6.5,2022,Android,6,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,26000
169,Infinix,8,MediaTek,4500,200,32,7.0,2022,Android,6,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,30000
170,Samsung,8,Qualcomm,4500,50,12,6.5,2023,Android,4,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,95000
171,realme,4,MediaTek,5000,48,16,6.5,2022,Android,6,Mali,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,16000
172,Apple,6,Apple,3000,12,12,6.0,2021,iOS,5,Apple,OLED,450,120,Yes,No,128,No,No,2,No,119900
173,vivo,8,MediaTek,4000,50,44,6.5,2022,Android,12,Mali,AMOLED,400,60,Yes,Yes,128,Yes,No,2,Yes,17000
174,Infinix,8,MediaTek,5000,50,16,7.0,2023,Android,6,Mali,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,16000
175,OPPO,4,MediaTek,5000,50,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,12100
176,OnePlus,8,Qualcomm,4500,48,16,6.5,2021,Android,5,Adreno,AMOLED,500,120,Yes,Yes,128,No,No,2,Yes,50000
177,Apple,4,Apple,2000,12,12,5.5,2020,iOS,5,Apple,OLED,450,60,Yes,No,64,No,No,2,No,51000
178,Apple,6,Apple,4500,12,12,6.5,2021,iOS,5,Apple,OLED,450,120,Yes,No,128,No,No,2,No,117000
179,Samsung,12,Qualcomm,4500,50,10,7.5,2022,Android,4,Adreno,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,118000
180,OnePlus,8,MediaTek,4500,64,16,6.5,2022,Android,6,Mali,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,25000
181,Samsung,12,Samsung,4500,12,10,7.0,2019,Android,7,Mali,AMOLED,450,60,Yes,Yes,256,Yes,No,2,Yes,55900
182,Samsung,6,Qualcomm,4500,64,32,6.5,2021,Android,6,Adreno,AMOLED,400,120,Yes,Yes,128,Yes,Yes,2,Yes,31000
183,Xiaomi,6,Qualcomm,4500,48,20,6.5,2021,Android,7,Adreno,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,24000
184,OPPO,8,MediaTek,4500,50,32,7.0,2023,Android,4,Mali,AMOLED,400,120,Yes,Yes,256,No,No,2,Yes,90000
185,OPPO,8,MediaTek,5000,48,8,6.5,2022,Android,6,Mali,LCD,250,90,Yes,Yes,128,Yes,Yes,2,Yes,17500
186,Samsung,8,Samsung,4000,12,10,6.0,2020,Android,7,Mali,AMOLED,550,120,Yes,Yes,128,Yes,No,2,Yes,39000
187,Infinix,8,MediaTek,5000,108,16,6.5,2022,Android,6,Mali,AMOLED,350,60,Yes,Yes,128,Yes,Yes,2,Yes,20000
188,Samsung,8,Samsung,3500,12,10,6.0,2019,Android,7,Mali,AMOLED,550,60,Yes,Yes,128,Yes,Yes,2,Yes,31800
189,Samsung,6,Samsung,7000,64,32,6.5,2021,Android,7,Mali,AMOLED,350,60,Yes,Yes,128,Yes,Yes,2,Yes,24000
190,Infinix,4,Unisoc,6000,13,5,6.5,2023,Android,28,PowerVR,LCD,250,60,No,Yes,64,Yes,Yes,2,Yes,7700
191,OPPO,8,Qualcomm,4500,64,16,6.5,2022,Android,6,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,22000
192,Xiaomi,6,MediaTek,5000,50,16,6.5,2021,Android,6,Mali,LCD,350,90,Yes,Yes,64,Yes,Yes,2,Yes,17000
193,Tecno,3,MediaTek,5000,13,5,6.5,2023,Android,12,PowerVR,LCD,250,60,No,Yes,32,Yes,Yes,2,Yes,7000
194,Moto,4,Qualcomm,6000,64,16,7.0,2021,Android,8,Adreno,LCD,350,120,Yes,Yes,64,Yes,Yes,2,Yes,12600
195,Samsung,6,Samsung,6000,64,32,6.5,2020,Android,10,Mali,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,19000
196,Samsung,8,Samsung,4500,12,32,6.5,2020,Android,7,Mali,AMOLED,400,120,Yes,Yes,128,Yes,No,2,Yes,27200
197,Samsung,6,Qualcomm,4500,64,32,6.5,2021,Android,8,Adreno,AMOLED,400,90,Yes,Yes,128,Yes,Yes,2,Yes,25000
198,Moto,6,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,AMOLED,400,60,Yes,Yes,128,No,Yes,2,Yes,17700
199,Motorola,12,Qualcomm,5000,108,25,6.5,2020,Android,7,Adreno,OLED,350,90,Yes,Yes,256,No,Yes,1,Yes,50000
200,Samsung,8,Samsung,6000,50,8,6.5,2022,Android,5,Mali,TFT,400,120,Yes,Yes,128,Yes,Yes,2,Yes,17400
201,Tecno,12,MediaTek,5000,50,16,8.0,2023,Android,4,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,88900
202,OPPO,6,Qualcomm,5000,48,8,6.5,2021,Android,8,Adreno,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,20000
203,Xiaomi,4,MediaTek,5000,8,5,6.5,2023,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,8500
204,Moto,2,Unisoc,5000,13,5,6.5,2023,Android,12,Mali,LCD,250,60,No,Yes,64,Yes,Yes,2,No,7500
205,POCO,4,MediaTek,5000,8,5,6.5,2023,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,7500
206,Samsung,8,Samsung,5000,12,10,6.5,2021,Android,5,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,48000
207,vivo,6,Qualcomm,4500,64,16,6.5,2022,Android,6,Adreno,AMOLED,400,90,Yes,Yes,128,No,No,2,Yes,24000
208,vivo,6,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,LCD,400,120,Yes,Yes,128,Yes,Yes,2,Yes,17000
209,POCO,6,Qualcomm,5000,48,20,6.5,2021,Android,7,Adreno,LCD,350,120,Yes,Yes,128,Yes,Yes,2,Yes,24000
210,OnePlus,8,Qualcomm,4000,48,16,6.5,2019,Android,7,Adreno,AMOLED,400,90,Yes,Yes,128,No,No,2,Yes,38000
211,OPPO,4,MediaTek,5000,13,16,6.5,2021,Android,12,PowerVR,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,10300
212,OnePlus,12,MediaTek,5000,50,16,6.5,2022,Android,5,Mali,AMOLED,350,120,Yes,Yes,256,No,No,2,Yes,39000
213,Xiaomi,3,MediaTek,5000,13,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,No,32,Yes,Yes,2,Yes,7500
214,Lava,6,Unisoc,5000,13,8,6.5,2023,Android,12,Mali,LCD,250,90,Yes,Yes,128,Yes,Yes,2,Yes,9000
215,OPPO,8,MediaTek,4500,64,32,6.5,2021,Android,6,Mali,AMOLED,400,90,Yes,Yes,128,No,No,2,Yes,26700
216,OPPO,8,MediaTek,4500,48,16,6.5,2021,Android,12,PowerVR,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,17000
217,Xiaomi,4,MediaTek,5000,48,13,6.5,2020,Android,12,Mali,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,12900
218,Apple,3,Apple,3000,12,7,6.0,2018,iOS,7,Apple,LCD,300,60,Yes,No,64,No,No,2,No,37000
219,OPPO,4,Qualcomm,5000,13,16,6.5,2020,Android,11,Adreno,LCD,250,90,Yes,Yes,64,Yes,Yes,2,Yes,12000
220,vivo,8,Qualcomm,5000,50,16,6.5,2022,Android,6,Adreno,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,16300
221,OnePlus,8,Qualcomm,4500,48,16,6.5,2021,Android,5,Adreno,AMOLED,400,120,Yes,Yes,128,No,No,2,Yes,38000
222,Samsung,4,MediaTek,6000,48,13,6.5,2021,Android,12,Mali,AMOLED,250,90,Yes,Yes,64,Yes,Yes,2,Yes,11500
223,Moto,8,Qualcomm,5000,50,16,6.5,2023,Android,6,Adreno,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,12700
224,vivo,4,MediaTek,5000,13,8,6.5,2021,Android,12,PowerVR,LCD,250,60,Yes,Yes,64,Yes,Yes,2,Yes,13200
225,OnePlus,16,Qualcomm,5000,50,16,6.5,2023,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,62000
226,vivo,8,MediaTek,4500,108,50,6.5,2022,Android,6,Mali,AMOLED,350,90,Yes,Yes,128,No,No,2,Yes,30400
227,Tecno,8,MediaTek,6000,50,8,7.0,2022,Android,6,Mali,LCD,250,90,Yes,Yes,128,Yes,Yes,2,Yes,12000
228,vivo,8,Qualcomm,4000,64,44,6.5,2020,Android,8,Adreno,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,23200
229,POCO,4,Qualcomm,5000,48,16,6.5,2020,Android,8,Adreno,LCD,350,60,Yes,Yes,64,Yes,Yes,2,Yes,11000
230,Xiaomi,4,MediaTek,6000,50,8,6.5,2021,Android,12,Mali,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,11000
231,Samsung,6,Samsung,5000,50,13,6.5,2023,Android,5,Mali,LCD,400,90,Yes,Yes,128,Yes,Yes,2,Yes,17500
232,OPPO,8,MediaTek,4500,48,16,6.5,2021,Android,7,Mali,AMOLED,400,60,Yes,Yes,128,Yes,Yes,2,Yes,26000
233,realme,6,Unisoc,5000,50,8,6.5,2023,Android,12,Mali,LCD,350,90,Yes,Yes,128,Yes,Yes,2,Yes,11000
234,OPPO,3,MediaTek,5000,8,5,6.5,2022,Android,12,PowerVR,LCD,250,60,No,No,64,Yes,Yes,2,Yes,9400
235,iQOO,8,Qualcomm,4500,50,16,7.0,2022,Android,4,Adreno,AMOLED,500,120,Yes,Yes,256,No,No,2,Yes,45000
236,Xiaomi,8,Qualcomm,6000,50,5,6.5,2022,Android,6,Adreno,LCD,250,60,Yes,Yes,128,Yes,Yes,2,Yes,12500
237,Tecno,4,MediaTek,7000,50,8,7.0,2022,Android,12,Mali,LCD,350,90,Yes,Yes,64,Yes,Yes,2,Yes,10300
238,Xiaomi,6,MediaTek,5000,108,16,6.5,2022,Android,6,Mali,AMOLED,350,120,Yes,Yes,128,Yes,Yes,2,Yes,21000
239,Apple,3,Apple,2500,12,7,6.0,2017,iOS,10,Apple,OLED,450,60,Yes,No,64,No,No,1,No,89000
240,Xiaomi,4,MediaTek,5000,50,8,6.5,2022,Android,6,Mali,LCD,400,90,Yes,Yes,64,Yes,Yes,2,Yes,10000
241,Samsung,12,Samsung,4500,108,10,7.0,2020,Android,7,Mali,AMOLED,450,120,Yes,Yes,256,Yes,No,2,Yes,75000
242,vivo,8,MediaTek,4500,50,32,7.0,2022,Android,4,Mali,AMOLED,350,120,Yes,Yes,128,No,No,2,Yes,55000
